Weight		Acceleration Averages (LSB)			Weight		Rotational Velocity Averages (LSB)	
	X	Y	Z	Magnitude		X	Y	Z
10679	-2.518587883	-3.005150295	14722.74220	14722.92695	1692	-90.54078014	-33.55141844	0.4988179669
23852	-8.945161831	-6.61882	14717.63508	14717.82444	34	-91.70588235	-32.82352941	6.735294118
12883	-2.120313592	-6.025615152	14718.31126	14718.50092	11478	-91.52953476	-32.90425161	7.561334727
15069	0.9611785785	-3.600238901	14719.35337	14719.5461	1620	-93.70123457	-32.58641975	6.946296296
30894	-4.474525798	-2.418592607	14721.98912	14722.18244	493	-93.54969574	-33.49087221	6.409736308
5019	-4.259812712	-0.5961346882	14723.72106	14723.92157	432	-93.93287037	-32.50925926	6.479166667
Overalls					Overalls			
	-4.194316842	-4.060693524	14720.21854	14720.40977		-91.77623976	-32.94844117	6.671788685
								
Accel (G)	-0.0002560007838	-0.0002478450637	0.8984508387	0.8984625103	RVel (°/s)	-0.7002185107	-0.2513843285	0.05090326155
Offset (9.8*10^-4 G)	0	0	-917	-917	Offset (LSB)	92	33	-7
Remainder (G)	-0.0002560007838	-0.0002478450637	-0.0002091612599	-0.0001974896814	Remainder (°/s)	-1.402144229	-0.5031620317	0.1043106531
