Log 6	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 7	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 8	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 9	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 10	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 11	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude
	44	-40	14620	14620.12093		40	36	14744	14744.09821		4	36	14600	14600.04493		20	-52	14744	14744.10526		-32	-48	14812	14812.11234		20	-16	14680	14680.02234
	8	76	14848	14848.19666		52	16	14660	14660.10095		0	28	14668	14668.02672		4	-52	14592	14592.0932		56	8	14820	14820.10796		12	-68	14812	14812.16095
	-4	36	14636	14636.04482		-28	-32	14748	14748.0613		-76	20	14760	14760.20921		-108	-76	14728	14728.59206		80	36	14736	14736.26113		-56	-4	14752	14752.10683
	-32	0	14680	14680.03488		-68	76	14736	14736.35287		40	-64	14724	14724.19342		-20	-40	14776	14776.06768		28	-48	14700	14700.10503		40	12	14800	14800.05892
	104	-68	14768	14768.52274		28	-64	14588	14588.16726		32	-32	14948	14948.0685		-16	0	14688	14688.00871		4	-12	14736	14736.00543		-68	88	14736	14736.41965
	68	44	14776	14776.22198		-68	-48	14700	14700.23564		72	84	14604	14604.41906		16	-80	14792	14792.22498		52	-120	14748	14748.57986		-60	20	14784	14784.13528
	80	-60	14648	14648.34134		40	0	14764	14764.05419		124	-8	14784	14784.52218		12	-28	14712	14712.03154		-32	-72	14708	14708.21104		-48	48	14748	14748.15622
	12	-8	14648	14648.0071		-44	-64	14728	14728.20478		-4	-32	14724	14724.03532		36	16	14596	14596.05317		72	64	14684	14684.31599		16	96	14888	14888.31811
	0	-72	14676	14676.17661		116	60	14700	14700.58012		-24	44	14732	14732.08526		-24	-40	14668	14668.07417		92	48	14676	14676.36685		56	52	14728	14728.19826
	56	-52	14784	14784.19751		-88	0	14752	14752.26247		84	-92	14904	14904.52066		36	-60	14716	14716.16635		-28	4	14628	14628.02734		52	20	14688	14688.10566
	-64	84	14660	14660.38035		80	-92	14676	14676.5064		24	-68	14748	14748.17629		-48	44	14836	14836.14289		84	24	14808	14808.2577		-36	40	14724	14724.09834
	-28	-12	14860	14860.03122		48	-28	14688	14688.10512		-8	56	14712	14712.10875		52	40	14588	14588.14752		-8	-52	14664	14664.09438		-88	-76	14636	14636.46187
	12	12	14748	14748.00976		0	40	14580	14580.05487		40	-60	14740	14740.17639		96	28	14672	14672.34078		-120	16	14608	14608.50163		-52	-20	14796	14796.10489
	-64	-24	14768	14768.15818		-44	-12	14672	14672.07088		20	16	14716	14716.02229		-96	56	14732	14732.41922		-76	-20	14672	14672.21047		-44	-48	14676	14676.14445
	-88	-80	14800	14800.47783		8	-20	14676	14676.01581		4	-56	14780	14780.10663		-8	-12	14808	14808.00702		40	-108	14724	14724.45041		0	8	14716	14716.00217
	-20	-8	14716	14716.01577		-36	76	14540	14540.24319		-44	-48	14812	14812.14313		-24	0	14708	14708.01958		-100	-40	14880	14880.38978		-96	64	14588	14588.45626
	52	48	14788	14788.16933		-16	-4	14692	14692.00926		52	-64	14784	14784.22998		12	-24	14812	14812.0243		76	-48	14764	14764.27364		-48	132	14640	14640.67375
	-108	16	14752	14752.40401		-36	8	14720	14720.0462		-36	-116	14784	14784.49891		68	-20	14692	14692.17098		-24	32	14660	14660.05457		-36	-28	14856	14856.07001
	16	-20	14800	14800.02216		72	56	14812	14812.28085		-16	28	14644	14644.03551		32	-120	14684	14684.52519		88	16	14684	14684.2724		-8	-32	14716	14716.03697
	8	76	14636	14636.19951		-12	64	14768	14768.14355		64	16	14720	14720.14783		-68	-12	14772	14772.16139		-20	-36	14720	14720.05761		-36	64	14704	14704.18335
	12	-20	14808	14808.01837		24	0	14612	14612.01971		60	-16	14712	14712.13105		84	-68	14756	14756.39577		-72	24	14556	14556.19786		-20	4	14684	14684.01417
	-44	-104	14924	14924.42723		20	-8	14740	14740.01574		56	-36	14820	14820.14953		8	92	14868	14868.28679		-8	-28	14824	14824.0286		52	-104	14824	14824.45601
	104	52	14704	14704.45973		-40	-60	14708	14708.17677		-32	-8	14616	14616.03722		108	-20	14680	14680.41089		20	56	14708	14708.12021		24	-112	14740	14740.44504
	-84	28	14692	14692.26681		-12	4	14692	14692.00545		0	-44	14684	14684.06592		-16	-4	14784	14784.0092		-12	88	14696	14696.26837		-8	4	14644	14644.00273
	-4	8	14712	14712.00272		-36	-64	14824	14824.18187		0	48	14752	14752.07809		96	12	14712	14712.3181		44	-116	14672	14672.52453		-36	84	14732	14732.28346
	-12	16	14740	14740.01357		-48	0	14764	14764.07803		52	-24	14740	14740.11126		8	-16	14852	14852.01077		80	-28	14688	14688.24455		-40	4	14808	14808.05456
	12	-64	14704	14704.14418		-36	16	14808	14808.0524		-76	-8	14772	14772.19767		4	0	14824	14824.00054		64	-8	14824	14824.14031		40	-28	14772	14772.08069
	-52	56	14776	14776.19762		-132	48	14708	14708.67064		44	64	14732	14732.20472		-68	-60	14700	14700.27973		-76	28	14752	14752.22234		-64	76	14784	14784.33387
	88	88	14840	14840.52182		-12	4	14664	14664.00546		-20	-144	14804	14804.71384		-12	16	14868	14868.01345		-120	24	14800	14800.50594		-144	8	14568	14568.71388
	44	-40	14760	14760.11978		-28	16	14776	14776.03519		-48	-96	14716	14716.39141		12	-64	14656	14656.14465		24	72	14728	14728.19554		32	16	14752	14752.04338
	-40	-20	14644	14644.06829		96	-44	14696	14696.37942		60	-24	14692	14692.14212		-52	20	14728	14728.10538		-12	-84	14752	14752.24403		-72	-64	14812	14812.31326
	-4	80	14868	14868.21576		4	-12	14724	14724.00543		-12	72	14720	14720.18098		-12	-64	14680	14680.14441		-120	40	14700	14700.54421		-52	-48	14820	14820.16896
	-96	-32	14812	14812.34566		-16	-60	14772	14772.13052		64	4	14660	14660.14024		40	-48	14720	14720.13261		0	-24	14748	14748.01953		52	56	14776	14776.19762
	-16	8	14740	14740.01085		32	72	14828	14828.20933		32	-60	14708	14708.15719		64	8	14832	14832.14024		16	32	14712	14712.0435		-16	64	14808	14808.14695
	60	-72	14704	14704.29869		24	8	14724	14724.02173		-36	-20	14748	14748.0575		88	40	14648	14648.31895		20	132	14712	14712.60575		-36	28	14748	14748.07052
	172	-92	14624	14625.30082		20	116	14824	14824.46734		28	-48	14656	14656.10535		52	8	14700	14700.09415		-44	-36	14612	14612.11059		16	-40	14712	14712.06308
	-24	-44	14588	14588.0861		-12	-156	14704	14704.8324		64	4	14696	14696.1399		-32	-92	14736	14736.32193		-44	-24	14716	14716.08535		-52	48	14784	14784.16937
	48	-48	14732	14732.15639		32	-12	14620	14620.03995		44	24	14784	14784.08496		0	88	14764	14764.26226		20	48	14748	14748.09167		-24	68	14644	14644.17755
	20	-20	14744	14744.02713		0	8	14648	14648.00218		56	36	14660	14660.15116		-52	-24	14760	14760.11111		-24	-12	14652	14652.02457		52	-32	14744	14744.12642
	-40	40	14800	14800.10811		-4	56	14636	14636.10768		32	-20	14672	14672.04853		20	16	14796	14796.02217		4	-36	14832	14832.04423		148	-44	14776	14776.80669
	8	-16	14560	14560.01099		112	-20	14768	14768.43824		-8	28	14808	14808.02863		-8	-108	14788	14788.39653		32	-8	14528	14528.03744		12	-36	14736	14736.04886
	-20	-24	14564	14564.03351		4	12	14744	14744.00543		-36	4	14692	14692.04465		-24	12	14756	14756.0244		-60	-76	14784	14784.3171		96	28	14724	14724.33958
	-36	-56	14680	14680.15095		-24	0	14768	14768.0195		-12	-80	14632	14632.22362		96	44	14700	14700.37931		-16	28	14692	14692.03539		56	-28	14588	14588.13436
