Log 0	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 1	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 2	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 3	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 4	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 5	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)
	-48	-50	-1473		-96	-29	-1		-92	-32	4		-102	-31	1		-94	-29	12		-95	-25	7
	-91	-36	3		-92	-36	6		-91	-29	19		-91	-47	3		-90	-42	9		-91	-28	11
	-86	-30	8		-93	-32	15		-95	-31	9		-94	-30	7		-92	-31	10		-95	-42	9
	-90	-34	3		-92	-32	11		-88	-35	10		-88	-28	8		-93	-23	6		-94	-25	6
	-89	-38	11		-94	-32	9		-90	-37	12		-92	-39	4		-90	-31	0		-97	-34	7
	-91	-38	3		-90	-36	12		-90	-33	11		-94	-39	12		-101	-32	11		-97	-29	2
	-89	-38	10		-89	-35	4		-90	-33	6		-94	-38	8		-95	-34	9		-99	-32	18
	-90	-33	13		-90	-29	6		-92	-32	11		-96	-64	8		-87	-29	4		-91	-36	5
	-83	-38	11		-90	-33	-1		-92	-31	4		-98	-31	1		-98	-42	3		-94	-38	8
	-88	-32	7		-95	-29	1		-90	-30	11		-90	-38	8		-96	-27	6		-96	-27	9
	-85	-33	7		-92	-35	10		-87	-39	6		-93	-38	5		-95	-34	4		-91	-26	5
	-91	-32	4		-92	-30	6		-95	-35	4		-90	-35	8		-96	-30	7		-98	-35	10
	-91	-36	6		-93	-38	2		-90	-32	9		-91	-40	10		-98	-41	7		-97	-37	1
	-86	-38	12		-92	-32	10		-93	-33	12		-94	-24	8		-92	-36	5		-99	-29	4
	-88	-37	15		-91	-32	3		-91	-30	12		-92	-31	12		-93	-35	6		-93	-31	7
	-90	-35	6		-91	-34	16		-93	-34	7		-92	-23	13		-95	-29	7		-91	-35	1
	-89	-33	7		-87	-32	6		-85	-33	2		-89	-49	12		-88	-38	10		-93	-36	4
	-92	-36	9		-91	-27	5		-88	-36	7		-90	-31	7		-90	-24	2		-97	-29	9
	-90	-33	11		-87	-38	3		-94	-27	7		-93	-14	13		-94	-29	10		-93	-41	16
	-89	-33	7		-92	-39	4		-94	-32	2		-104	-12	8		-95	-28	0		-94	-24	6
	-92	-37	7		-91	-37	14		-93	-35	3		-89	-37	3		-96	-35	7		-90	-35	5
	-91	-37	13		-94	-30	5		-90	-31	6		-99	-20	8		-101	-23	6		-92	-26	-4
